Station Channel Location Latitude Longitude Elevation Depth Azimuth Start_time End_time Constant 
ALS HLE 10 23.508380 120.813410 2417.00 0.00 90.0 2018-08-08 2599-12-31 3.27E-6 
ALS HLN 10 23.508380 120.813410 2417.00 0.00 0.0 2018-08-08 2599-12-31 3.24E-6 
ALS HLZ 10 23.508380 120.813410 2417.00 0.00 0.0 2018-08-08 2599-12-31 3.25E-6 
ALS HLE 11 23.508380 120.813410 2417.00 0.00 90.0 2023-02-02 2599-12-31 3.09E-6 
ALS HLN 11 23.508380 120.813410 2417.00 0.00 0.0 2023-02-02 2599-12-31 3.09E-6 
ALS HLZ 11 23.508380 120.813410 2417.00 0.00 0.0 2023-02-02 2599-12-31 3.09E-6 
ANP HLE 10 25.182767 121.529353 836.00 0.00 90.0 2023-01-18 2599-12-31 3.23E-6 
ANP HLN 10 25.182767 121.529353 836.00 0.00 0.0 2023-01-18 2599-12-31 3.23E-6 
ANP HLZ 10 25.182767 121.529353 836.00 0.00 0.0 2023-01-18 2599-12-31 3.25E-6 
CHK HLE 10 23.097802 121.373148 37.00 0.00 90.0 2018-12-10 2599-12-31 3.23E-6 
CHK HLN 10 23.097802 121.373148 37.00 0.00 0.0 2018-12-10 2599-12-31 3.24E-6 
CHK HLZ 10 23.097802 121.373148 37.00 0.00 0.0 2018-12-10 2599-12-31 3.2E-6 
CHN8 HLE 10 23.347334 120.222701 6.00 0.00 90.0 2018-11-14 2599-12-31 3.22E-6 
CHN8 HLN 10 23.347334 120.222701 6.00 0.00 0.0 2018-11-14 2599-12-31 3.25E-6 
CHN8 HLZ 10 23.347334 120.222701 6.00 0.00 0.0 2018-11-14 2599-12-31 3.22E-6 
CHY HLE 10 23.496288 120.432525 31.00 0.00 90.0 2018-11-13 2599-12-31 3.26E-6 
CHY HLN 10 23.496288 120.432525 31.00 0.00 0.0 2018-11-13 2599-12-31 3.25E-6 
CHY HLZ 10 23.496288 120.432525 31.00 0.00 0.0 2018-11-13 2599-12-31 3.22E-6 
EAS HLE 10 22.381990 120.856353 457.00 0.00 90.0 2018-12-10 2599-12-31 3.23E-6 
EAS HLN 10 22.381990 120.856353 457.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
EAS HLZ 10 22.381990 120.856353 457.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
ECB HLE 10 23.316352 121.451163 63.00 0.00 90.0 2016-09-13 2599-12-31 3.21E-6 
ECB HLN 10 23.316352 121.451163 63.00 0.00 0.0 2016-09-13 2599-12-31 3.22E-6 
ECB HLZ 10 23.316352 121.451163 63.00 0.00 0.0 2016-09-13 2599-12-31 3.2E-6 
ECL HLE 10 22.595697 120.961696 88.00 0.00 90.0 2018-12-10 2599-12-31 3.2E-6 
ECL HLN 10 22.595697 120.961696 88.00 0.00 0.0 2018-12-10 2599-12-31 3.22E-6 
ECL HLZ 10 22.595697 120.961696 88.00 0.00 0.0 2018-12-10 2599-12-31 3.2E-6 
ECS HLE 10 23.095175 121.219174 286.00 0.00 90.0 2018-12-10 2599-12-31 3.22E-6 
ECS HLN 10 23.095175 121.219174 286.00 0.00 0.0 2018-12-10 2599-12-31 3.22E-6 
ECS HLZ 10 23.095175 121.219174 286.00 0.00 0.0 2018-12-10 2599-12-31 3.25E-6 
EGC HLE 10 23.707805 121.547557 9.00 0.00 90.0 2018-11-15 2599-12-31 3.23E-6 
EGC HLN 10 23.707805 121.547557 9.00 0.00 0.0 2018-11-15 2599-12-31 3.25E-6 
EGC HLZ 10 23.707805 121.547557 9.00 0.00 0.0 2018-11-15 2599-12-31 3.25E-6 
EGS HLE 10 24.842710 121.943750 20.00 0.00 90.0 2018-11-19 2599-12-31 3.23E-6 
EGS HLN 10 24.842710 121.943750 20.00 0.00 0.0 2018-11-19 2599-12-31 3.23E-6 
EGS HLZ 10 24.842710 121.943750 20.00 0.00 0.0 2018-11-19 2599-12-31 3.23E-6 
EHP HLE 10 24.308987 121.749420 27.00 0.00 90.0 2018-11-15 2599-12-31 3.23E-6 
EHP HLN 10 24.308987 121.749420 27.00 0.00 0.0 2018-11-15 2599-12-31 3.24E-6 
EHP HLZ 10 24.308987 121.749420 27.00 0.00 0.0 2018-11-15 2599-12-31 3.23E-6 
ELD HLE 10 23.187078 121.025060 1058.00 0.00 90.0 2018-12-10 2599-12-31 3.24E-6 
ELD HLN 10 23.187078 121.025060 1058.00 0.00 0.0 2018-12-10 2599-12-31 3.24E-6 
ELD HLZ 10 23.187078 121.025060 1058.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
ENA HLE 10 24.425911 121.749006 123.00 0.00 90.0 2018-11-19 2599-12-31 3.25E-6 
ENA HLN 10 24.425911 121.749006 123.00 0.00 0.0 2018-11-19 2599-12-31 3.25E-6 
ENA HLZ 10 24.425911 121.749006 123.00 0.00 0.0 2018-11-19 2599-12-31 3.23E-6 
ESL HLE 10 23.812032 121.441614 180.00 0.00 90.0 2018-11-14 2599-12-31 3.25E-6 
ESL HLN 10 23.812032 121.441614 180.00 0.00 0.0 2018-11-14 2599-12-31 3.23E-6 
ESL HLZ 10 23.812032 121.441614 180.00 0.00 0.0 2018-11-14 2599-12-31 3.24E-6 
ETM HLE 10 23.965891 121.492787 170.00 0.00 90.0 2018-11-15 2599-12-31 3.24E-6 
ETM HLN 10 23.965891 121.492787 170.00 0.00 0.0 2018-11-15 2599-12-31 3.23E-6 
ETM HLZ 10 23.965891 121.492787 170.00 0.00 0.0 2018-11-15 2599-12-31 3.24E-6 
HEN HLE 10 22.003760 120.745981 26.00 0.00 90.0 2018-11-20 2599-12-31 3.23E-6 
HEN HLN 10 22.003760 120.745981 26.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
HEN HLZ 10 22.003760 120.745981 26.00 0.00 0.0 2018-11-20 2599-12-31 3.24E-6 
HSN HLE 10 24.828271 121.014189 31.00 0.00 90.0 2017-11-18 2599-12-31 3.23E-6 
HSN HLN 10 24.828271 121.014189 31.00 0.00 0.0 2017-11-18 2599-12-31 3.21E-6 
HSN HLZ 10 24.828271 121.014189 31.00 0.00 0.0 2017-11-18 2599-12-31 3.22E-6 
HSN1 HLE 10 24.778640 121.018185 91.00 0.00 90.0 2023-01-30 2599-12-31 3.16E-6 
HSN1 HLN 10 24.778640 121.018185 91.00 0.00 0.0 2023-01-30 2599-12-31 3.23E-6 
HSN1 HLZ 10 24.778640 121.018185 91.00 0.00 0.0 2023-01-30 2599-12-31 3.23E-6 
HWA HLE 10 23.975010 121.613486 18.00 0.00 90.0 2018-11-14 2599-12-31 3.26E-6 
HWA HLN 10 23.975010 121.613486 18.00 0.00 0.0 2018-11-14 2599-12-31 3.26E-6 
HWA HLZ 10 23.975010 121.613486 18.00 0.00 0.0 2018-11-14 2599-12-31 3.25E-6 
ILA HLE 10 24.763787 121.756308 11.00 0.00 90.0 2018-11-19 2599-12-31 3.23E-6 
ILA HLN 10 24.763787 121.756308 11.00 0.00 0.0 2018-11-19 2599-12-31 3.23E-6 
ILA HLZ 10 24.763787 121.756308 11.00 0.00 0.0 2018-11-19 2599-12-31 3.21E-6 
KNM HLE 10 24.407480 118.288684 31.00 0.00 90.0 2023-01-18 2599-12-31 3.2E-6 
KNM HLN 10 24.407480 118.288684 31.00 0.00 0.0 2023-01-18 2599-12-31 3.21E-6 
KNM HLZ 10 24.407480 118.288684 31.00 0.00 0.0 2023-01-18 2599-12-31 3.23E-6 
LAY HLE 10 22.037265 121.558127 309.00 0.00 90.0 2018-12-10 2599-12-31 3.25E-6 
LAY HLN 10 22.037265 121.558127 309.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
LAY HLZ 10 22.037265 121.558127 309.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
MSU HLE 10 26.169223 119.922950 85.00 0.00 90.0 2017-04-14 2599-12-31 3.23E-6 
